Adoption ID,Date,Quantity,Book ID,Title,ISBN-10,ISBN-13,Category,University ID
5,9/12/2015,371,787,Visual Basic 2012 How to Program,0133406954,9780133406955,Computer Science,483586
6,12/16/2015,119,952,"Corporate Finance, The Core",0133097897,9780133097894,Business,483586
7,5/18/2015,104,478,Starting out with Visual C# 2012 (with CD-Rom),0133129454,9780133129458,Computer Science,483586
8,2/14/2016,189,984,E-Commerce 2013,0132730359,9780132730358,Business,483586
9,2/23/2016,597,599,Analysis with an Introduction to Proof,032174747X,9780321747471,Mathematics,483586
10,6/12/2015,259,932,Foundations of Finance,0132994879,9780132994873,Business,483586
11,8/24/2015,519,594,Elementary Algebra:  Concepts & Applications,0321874226,9780321874221,Mathematics,483586
12,6/23/2015,500,652,"Career Adventure: Your Guide to Personal Assessment, Career Exploration, and Decision Making",0132481197,9780132481199,Student Success,483586
13,5/18/2015,368,639,An Introduction to Programming Using Visual Basic 2012(w/Visual Studio 2012 Express Edition DVD),0133378500,9780133378504,Computer Science,483586
14,4/11/2015,308,911,Economics,0132994844,9780132994842,Economics,483586
15,6/8/2015,521,957,Principles of Risk Management and Insurance,0132992914,9780132992916,Business,483586
16,3/25/2015,72,792,Managing Engineering and Technology,0133485102,9780133485103,Engineering,483586
17,11/19/2015,276,622,"Prealgebra and Introductory Algebra, 4e",0321859227,9780321859228,Mathematics,483586
18,5/5/2015,250,698,Global Marketing Management,0136157394,9780136157397,Business,483586
19,10/10/2015,51,549,Complete Works of Shakespeare 7E,0321886518,9780321886514,English,483586
20,4/16/2015,481,598,Introductory & Intermediate Algebra 3e,0321826035,9780321826039,Mathematics,483586
21,1/28/2016,123,790,Data Structures and Algorithm Analysis in C++,013284737X,9780132847377,Computer Science,483586
22,2/23/2016,665,593,Prealgebra  5e,0321845021,9780321845023,Mathematics,483586
23,10/19/2015,231,480,Fundamentals of Statistics,032183870X,9780321838704,Statistics,483586
24,8/15/2015,650,611,"Cornerstones for Community College Success, 2/E",0321860594,9780321860590,Student Success,483586
25,6/29/2015,189,969,Economics for Managers,013606552X,9780136065524,Economics,483586
26,7/10/2015,180,612,Precalculus with Modeling & Visualization,0321826027,9780321826022,Mathematics,483586
27,1/2/2016,506,598,Introductory & Intermediate Algebra 3e,0321826035,9780321826039,Mathematics,483586
28,8/27/2015,265,490,Essential Statistics,0321836987,9780321836984,Statistics,483586
29,10/15/2015,535,974,The Economics of Macro Issues,0132991284,9780132991285,Economics,483586
30,2/22/2016,552,948,"Integrated Advertising, Promotion, and Marketing Communications",0133126242,9780133126242,Business,483586
31,9/26/2015,602,473,Introduction to JavaScript Programming with XML and PHP,0133068307,9780133068306,Computer Science,483586
32,10/10/2015,637,940,Microeconomics,0132948869,9780132948869,Economics,483586
33,3/6/2016,471,910,Managerial Economics,0133020266,9780133020267,Economics,483586
1,2/29/2016,462,942,Employment Law,0133075222,9780133075229,Business,224226
2,7/7/2015,139,603,Intro Stats,0321825276,9780321825278,Statistics,224226
3,7/29/2015,205,980,Hands-On Database,013610827X,9780136108276,Computer Science,224226
4,12/26/2015,694,912,Fundamentals of Human Resource Management,0132994909,9780132994903,Business,224226
5,8/1/2015,396,626,Elementary & Intermediate Algebra,0321880110,9780321880116,Mathematics,224226
6,10/13/2015,273,615,Algebra and Trigonometry with Modeling & Visualization,0321826124,9780321826121,Mathematics,224226
7,1/4/2016,536,984,E-Commerce 2013,0132730359,9780132730358,Business,224226
8,7/12/2015,52,698,Global Marketing Management,0136157394,9780136157397,Business,224226
9,5/19/2015,420,598,Introductory & Intermediate Algebra 3e,0321826035,9780321826039,Mathematics,224226
10,1/4/2016,631,940,Microeconomics,0132948869,9780132948869,Economics,224226
11,2/16/2016,324,705,Statics and Mechanics of Materials,0133451607,9780133451603,Engineering,224226
12,6/29/2015,546,932,Foundations of Finance,0132994879,9780132994873,Business,224226
13,12/2/2015,281,637,Elementary Statistics Using Excel,0321851668,9780321851666,Statistics,224226
14,3/1/2016,687,552,The Prentice Hall Guide for College Writers,0205875548,9780205875542,English,224226
15,10/30/2015,447,891,Marketing Plan Handbook,0133078353,9780133078350,Business,224226
1,2/15/2016,445,701,Adaptive Filter Theory,013267145X,9780132671453,Engineering,436094
2,6/6/2015,632,785,"Human Relations for Career and Personal Success: Concepts, Applications, & Skills",0132974401,9780132974400,Business,436094
3,4/28/2015,503,899,Personal Finance,0132994348,9780132994347,Business,436094
4,8/5/2015,519,904,International Business,0133063003,9780133063004,Business,436094
5,4/4/2015,292,608,Basic Technical Mathematics with Calculus,0133116530,9780133116533,Mathematics,436094
6,12/18/2015,552,784,Mechanics of Materials,0133254429,9780133254426,Engineering,436094
7,7/26/2015,158,696,Entrepreneurial Finance,0133140512,9780133140514,Business,436094
8,3/28/2015,407,479,Elementary Statistics,0321836960,9780321836960,Statistics,436094
9,7/16/2015,182,925,Guide to Managerial Communication,013297133X,9780132971331,Business,436094
10,7/30/2015,261,783,Fundamentals of Investing,0133075354,9780133075359,Business,436094
11,3/19/2015,146,475,Java Software Structures,0133250121,9780133250121,Computer Science,436094
12,1/16/2016,630,474,Starting Out with C++: Early Objects,013336092X,9780133360929,Computer Science,436094
13,11/13/2015,232,558,"Strategies for Successful Writing, Concise Edition",0205883109,9780205883103,English,436094
14,11/14/2015,664,624,Precalculus,0321837347,9780321837349,Mathematics,436094
15,5/24/2015,310,787,Visual Basic 2012 How to Program,0133406954,9780133406955,Computer Science,436094
16,3/17/2015,168,693,"Network Security Essentials: Applications and Standards, 5/e",0133370437,9780133370430,Computer Science,436094
17,5/16/2015,476,918,Fundamentals of Futures and Options Markets,0132993341,9780132993340,Business,436094
18,5/24/2015,250,946,Auditing and Assurance Services,0133125637,9780133125634,Business,436094
19,9/3/2015,641,572,Mosaics: Reading and Writing Paragraphs,0205890547,9780205890545,Student Success,436094
20,6/25/2015,190,784,Mechanics of Materials,0133254429,9780133254426,Engineering,436094
21,9/17/2015,292,567,"Writing and Reading Across the Curriculum, Brief Edition",0321906365,9780321906366,English,436094
22,8/19/2015,420,707,Managerial Economics,0321566440,9780321566447,Economics,436094
23,10/23/2015,570,919,MIS Essentials,0132970759,9780132970754,Business,436094
24,3/5/2016,640,489,Statistics for Business and Economics,032182623X,9780321826237,Statistics,436094
25,1/1/2016,505,474,Starting Out with C++: Early Objects,013336092X,9780133360929,Computer Science,436094
26,4/30/2015,210,547,"The Curious Writer, Brief Edition",020587665X,9780205876655,English,436094
27,5/30/2015,649,608,Basic Technical Mathematics with Calculus,0133116530,9780133116533,Mathematics,436094
28,1/16/2016,196,792,Managing Engineering and Technology,0133485102,9780133485103,Engineering,436094
29,10/8/2015,677,594,Elementary Algebra:  Concepts & Applications,0321874226,9780321874221,Mathematics,436094
30,3/19/2015,53,782,Public Relations Practices,0133127648,9780133127645,Business,436094
31,3/31/2015,383,937,Microeconomics,0133423905,9780133423907,Economics,436094
32,10/11/2015,377,943,Modern Systems Analysis and Design,0132991306,9780132991308,Business,436094
33,6/6/2015,619,940,Microeconomics,0132948869,9780132948869,Economics,436094
1,10/15/2015,33,964,The Practice of Public Relations,0133083578,9780133083576,Business,213987
2,9/7/2015,429,477,Starting Out With Visual Basic,0133128083,9780133128086,Computer Science,213987
3,9/19/2015,643,603,Intro Stats,0321825276,9780321825278,Statistics,213987
4,8/12/2015,55,550,Literature for Composition,0321829174,9780321829177,English,213987
5,1/16/2016,318,968,Principles of Microeconomics,0133024164,9780133024166,Economics,213987
6,10/19/2015,650,596,Precalculus: A Unit Circle Approach,0321900472,9780321900470,Mathematics,213987
7,3/1/2016,50,489,Statistics for Business and Economics,032182623X,9780321826237,Statistics,213987
8,5/11/2015,92,564,Read to Achieve: Gateway to Academic Reading,0205578063,9780205578061,Student Success,213987
9,12/20/2015,113,695,Aerodynamics for Engineers,0132832887,9780132832885,Engineering,213987
10,2/17/2016,546,952,"Corporate Finance, The Core",0133097897,9780133097894,Business,213987
11,2/19/2016,231,792,Managing Engineering and Technology,0133485102,9780133485103,Engineering,213987
12,3/16/2015,604,677,"Macroeconomics, 2/e",0132992795,9780132992794,Economics,213987
13,12/5/2015,356,911,Economics,0132994844,9780132994842,Economics,213987
14,11/3/2015,153,973,The Economic Way of Thinking,0136039855,9780136039853,Economics,213987
15,1/31/2016,569,571,Style: Lessons in Clarity and Grace 11E,0321898680,9780321898685,English,213987
16,8/22/2015,640,965,QuickBooks Pro 2013: A Complete Course,0133023354,9780133023350,Business,213987
17,12/6/2015,83,574,Technical Communication,0321899970,9780321899972,English,213987
18,1/24/2016,435,553,"The Prentice Hall Guide for College Writers, Brief Edition",0205883052,9780205883059,English,213987
19,9/4/2015,325,477,Starting Out With Visual Basic,0133128083,9780133128086,Computer Science,213987
20,1/9/2016,217,921,Digital Business Networks,0132846918,9780132846912,Business,213987
21,2/16/2016,73,487,Business Statistics: A First Course,0321838696,9780321838698,Statistics,213987
22,7/23/2015,644,644,"Developmental Mathematics: Prealgebra, Beginning, Intermediate Algebra",0321880854,9780321880857,Mathematics,213987
23,8/23/2015,426,920,Business Communication Essentials,0132971321,9780132971324,Business,213987
24,6/19/2015,514,474,Starting Out with C++: Early Objects,013336092X,9780133360929,Computer Science,213987
1,12/7/2015,694,639,An Introduction to Programming Using Visual Basic 2012(w/Visual Studio 2012 Express Edition DVD),0133378500,9780133378504,Computer Science,224147
2,6/1/2015,560,475,Java Software Structures,0133250121,9780133250121,Computer Science,224147
3,7/21/2015,90,707,Managerial Economics,0321566440,9780321566447,Economics,224147
4,12/30/2015,490,706,Introduction to Engineering Analysis,013601772X,9780136017721,Engineering,224147
5,6/11/2015,460,486,Intermediate Algebra,0321880129,9780321880123,Mathematics,224147
6,12/2/2015,398,967,Principles of Economics,013302380X,9780133023800,Economics,224147
7,2/14/2016,83,642,Developmental Mathematics,0321845862,9780321845863,Mathematics,224147
8,10/10/2015,582,783,Fundamentals of Investing,0133075354,9780133075359,Business,224147
9,8/21/2015,577,685,Ownership Series: Ownership: Critical Thinking,013286908X,9780132869089,Student Success,224147
10,6/9/2015,435,636,Trigonometry,0321795911,9780321795915,Mathematics,224147
11,1/17/2016,447,591,Basic College Mathematics,0321825535,9780321825537,Mathematics,224147
12,4/27/2015,646,479,Elementary Statistics,0321836960,9780321836960,Statistics,224147
1,4/14/2015,226,930,Macroeconomics,0132948877,9780132948876,Economics,148654
2,11/14/2015,30,983,Electronic Commerce 2012,0132145383,9780132145381,Business,148654
3,3/3/2016,493,952,"Corporate Finance, The Core",0133097897,9780133097894,Business,148654
1,10/3/2015,141,571,Style: Lessons in Clarity and Grace 11E,0321898680,9780321898685,English,239080
2,6/30/2015,68,474,Starting Out with C++: Early Objects,013336092X,9780133360929,Computer Science,239080
3,2/23/2016,547,932,Foundations of Finance,0132994879,9780132994873,Business,239080
4,4/29/2015,550,475,Java Software Structures,0133250121,9780133250121,Computer Science,239080
5,7/5/2015,444,571,Style: Lessons in Clarity and Grace 11E,0321898680,9780321898685,English,239080
6,12/17/2015,656,790,Data Structures and Algorithm Analysis in C++,013284737X,9780132847377,Computer Science,239080
7,2/16/2016,210,607,Basic Technical Mathematics,0133083500,9780133083507,Mathematics,239080
8,12/9/2015,690,616,Introductory and Intermediate Algebra 5e,0321865537,9780321865533,Mathematics,239080
9,10/5/2015,450,979,Development Economics,0321464486,9780321464484,Economics,239080
10,11/16/2015,149,974,The Economics of Macro Issues,0132991284,9780132991285,Economics,239080
11,1/15/2016,114,940,Microeconomics,0132948869,9780132948869,Economics,239080
12,11/14/2015,347,549,Complete Works of Shakespeare 7E,0321886518,9780321886514,English,239080
13,5/9/2015,537,693,"Network Security Essentials: Applications and Standards, 5/e",0133370437,9780133370430,Computer Science,239080
14,9/13/2015,517,608,Basic Technical Mathematics with Calculus,0133116530,9780133116533,Mathematics,239080
15,3/27/2015,176,911,Economics,0132994844,9780132994842,Economics,239080
16,12/8/2015,530,946,Auditing and Assurance Services,0133125637,9780133125634,Business,239080
17,1/20/2016,382,909,Management: A Focus on Leaders,0133077543,9780133077544,Business,239080
18,10/27/2015,127,595,Intermediate Algebra: Concepts & Applications,0321848284,9780321848284,Mathematics,239080
19,5/12/2015,437,932,Foundations of Finance,0132994879,9780132994873,Business,239080
20,6/24/2015,58,975,The Economics of Public Issues,0133022935,9780133022933,Economics,239080
21,2/15/2016,611,624,Precalculus,0321837347,9780321837349,Mathematics,239080
22,2/17/2016,659,680,Introduction to Programming with C++,0133252817,9780133252811,Computer Science,239080
23,9/14/2015,202,548,"The Curious Writer, Concise Edition",0205876641,9780205876648,English,239080
24,1/30/2016,224,636,Trigonometry,0321795911,9780321795915,Mathematics,239080
25,5/4/2015,310,790,Data Structures and Algorithm Analysis in C++,013284737X,9780132847377,Computer Science,239080
26,10/9/2015,47,892,Opportunities and Challenges of Workplace Diversity,013295351X,9780132953511,Business,239080
1,12/4/2015,598,916,Management Information Systems,0133050696,9780133050691,Business,377564
2,5/31/2015,381,923,Guide to Presentations,0133058360,9780133058369,Business,377564
3,6/30/2015,309,697,"English for Careers: Business, Professional, and Technical",013261930X,9780132619301,Business,377564
4,9/8/2015,560,925,Guide to Managerial Communication,013297133X,9780132971331,Business,377564
5,9/1/2015,274,599,Analysis with an Introduction to Proof,032174747X,9780321747471,Mathematics,377564
6,9/26/2015,456,943,Modern Systems Analysis and Design,0132991306,9780132991308,Business,377564
7,2/26/2016,335,568,Reading Rhetorically,0321846621,9780321846624,English,377564
8,6/24/2015,286,692,Cryptography and Network Security: Principles and Practice,0133354695,9780133354690,Computer Science,377564
9,11/24/2015,433,676,International Monetary & Financial  Economics,0132461862,9780132461863,Economics,377564
10,3/6/2016,644,607,Basic Technical Mathematics,0133083500,9780133083507,Mathematics,377564
11,2/25/2016,34,685,Ownership Series: Ownership: Critical Thinking,013286908X,9780132869089,Student Success,377564
12,11/28/2015,150,983,Electronic Commerce 2012,0132145383,9780132145381,Business,377564
13,12/7/2015,272,574,Technical Communication,0321899970,9780321899972,English,377564
14,1/17/2016,437,488,Statistics for Business: Decision Making and Analysis,0321836510,9780321836519,Statistics,377564
15,1/28/2016,692,555,"Global Issues, Local Arguments",0205886159,9780205886159,English,377564
1,3/2/2016,263,591,Basic College Mathematics,0321825535,9780321825537,Mathematics,149781
2,2/6/2016,65,607,Basic Technical Mathematics,0133083500,9780133083507,Mathematics,149781
3,8/12/2015,380,926,Environmental Law,0133075281,9780133075281,Business,149781
4,11/30/2015,552,547,"The Curious Writer, Brief Edition",020587665X,9780205876655,English,149781
5,10/27/2015,92,707,Managerial Economics,0321566440,9780321566447,Economics,149781
6,5/15/2015,39,486,Intermediate Algebra,0321880129,9780321880123,Mathematics,149781
7,2/3/2016,657,628,Business Math Brief,0133140423,9780133140422,Business,149781
8,2/6/2016,84,897,Introduction to Management Accounting,0133058786,9780133058789,Business,149781
9,3/21/2015,163,940,Microeconomics,0132948869,9780132948869,Economics,149781
10,5/9/2015,76,473,Introduction to JavaScript Programming with XML and PHP,0133068307,9780133068306,Computer Science,149781
11,2/14/2016,76,980,Hands-On Database,013610827X,9780136108276,Computer Science,149781
12,3/9/2015,90,596,Precalculus: A Unit Circle Approach,0321900472,9780321900470,Mathematics,149781
13,9/21/2015,545,629,Precalculus: Essentials,032181696X,9780321816962,Mathematics,149781
14,2/28/2016,72,909,Management: A Focus on Leaders,0133077543,9780133077544,Business,149781
15,7/1/2015,609,783,Fundamentals of Investing,0133075354,9780133075359,Business,149781
16,7/15/2015,156,898,Better Business,0133059049,9780133059045,Business,149781
17,8/10/2015,417,482,Excursions in Modern Mathematics,032182573X,9780321825735,Mathematics,149781
18,10/23/2015,503,905,Horngren's Accounting,0133117413,9780133117417,Business,149781
19,6/10/2015,118,915,Experiencing MIS,0132967480,9780132967488,Business,149781
20,3/19/2015,405,476,Building Java Programs,0133360903,9780133360905,Computer Science,149781
21,3/29/2015,563,631,World of Short Stories: 20 Short Stories from Around the World,0205902308,9780205902309,Student Success,149781
22,7/31/2015,369,569,Building College Vocabulary Strategies,0321844254,9780321844255,Student Success,149781
23,5/2/2015,449,596,Precalculus: A Unit Circle Approach,0321900472,9780321900470,Mathematics,149781
24,9/22/2015,283,939,Macroeconomics,0133020258,9780133020250,Economics,149781
25,6/19/2015,374,975,The Economics of Public Issues,0133022935,9780133022933,Economics,149781
26,4/15/2015,217,905,Horngren's Accounting,0133117413,9780133117417,Business,149781
27,9/16/2015,609,904,International Business,0133063003,9780133063004,Business,149781
28,4/17/2015,159,680,Introduction to Programming with C++,0133252817,9780133252811,Computer Science,149781
29,10/7/2015,111,928,Human Resource Management,0133043541,9780133043549,Business,149781
1,1/6/2016,337,561,The DK Handbook,0205863795,9780205863792,Student Success,157793
2,7/1/2015,88,953,Accounting Information Systems: The Crossroads of Accounting and IT 2e,0132991322,9780132991322,Business,157793
3,8/7/2015,340,648,The DK Guide to Literature,0205778844,9780205778843,English,157793
4,2/26/2016,403,690,Horngren's Financial & Managerial Accounting. The Financial Chapters,0133255573,9780133255577,Business,157793
5,5/23/2015,43,618,Bridging the Gap,0205852068,9780205852062,Student Success,157793
6,10/15/2015,233,616,Introductory and Intermediate Algebra 5e,0321865537,9780321865533,Mathematics,157793
7,2/2/2016,45,964,The Practice of Public Relations,0133083578,9780133083576,Business,157793
8,7/6/2015,411,960,Customer Service: Career Success through Customer Loyalty,0133056252,9780133056259,Business,157793
9,7/21/2015,591,942,Employment Law,0133075222,9780133075229,Business,157793
10,5/28/2015,304,473,Introduction to JavaScript Programming with XML and PHP,0133068307,9780133068306,Computer Science,157793
11,7/27/2015,167,947,Operations Management,0132921146,9780132921145,Business,157793
12,4/10/2015,43,569,Building College Vocabulary Strategies,0321844254,9780321844255,Student Success,157793
13,8/21/2015,521,594,Elementary Algebra:  Concepts & Applications,0321874226,9780321874221,Mathematics,157793
14,10/1/2015,619,955,Horngren's Financial & Managerial Accounting,0133251241,9780133251241,Business,157793
15,2/13/2016,322,974,The Economics of Macro Issues,0132991284,9780132991285,Economics,157793
16,7/14/2015,687,477,Starting Out With Visual Basic,0133128083,9780133128086,Computer Science,157793
17,12/17/2015,627,919,MIS Essentials,0132970759,9780132970754,Business,157793
18,9/8/2015,342,591,Basic College Mathematics,0321825535,9780321825537,Mathematics,157793
19,4/4/2015,655,603,Intro Stats,0321825276,9780321825278,Statistics,157793
20,5/7/2015,66,566,Academic Reading,0321865820,9780321865823,Student Success,157793
21,3/25/2015,111,974,The Economics of Macro Issues,0132991284,9780132991285,Economics,157793
22,7/5/2015,526,556,Mosaics: Reading and Writing Essays 6e,0205890962,9780205890965,Student Success,157793
23,2/17/2016,285,964,The Practice of Public Relations,0133083578,9780133083576,Business,157793
24,9/21/2015,296,704,Fundamentals of Communication Systems,0133354857,9780133354850,Engineering,157793
25,1/24/2016,143,787,Visual Basic 2012 How to Program,0133406954,9780133406955,Computer Science,157793
26,6/6/2015,627,684,Ownership Series: Ownership: Effective Planning,0132868792,9780132868792,Student Success,157793
1,7/8/2015,160,549,Complete Works of Shakespeare 7E,0321886518,9780321886514,English,110644
2,7/26/2015,205,911,Economics,0132994844,9780132994842,Economics,110644
3,9/15/2015,96,648,The DK Guide to Literature,0205778844,9780205778843,English,110644
4,6/6/2015,582,549,Complete Works of Shakespeare 7E,0321886518,9780321886514,English,110644
5,1/18/2016,446,472,Basics of Web Design: HTML5 & CSS3,0133128911,9780133128918,Computer Science,110644
6,2/15/2016,433,598,Introductory & Intermediate Algebra 3e,0321826035,9780321826039,Mathematics,110644
7,5/5/2015,510,923,Guide to Presentations,0133058360,9780133058369,Business,110644
8,1/13/2016,698,896,Psychology of Investing,0132994895,9780132994897,Business,110644
9,12/21/2015,82,631,World of Short Stories: 20 Short Stories from Around the World,0205902308,9780205902309,Student Success,110644
10,12/6/2015,580,688,"Essentials of Processes, Systems and Information: with SAP tutorials",013340675X,9780133406757,Business,110644
1,1/20/2016,264,652,"Career Adventure: Your Guide to Personal Assessment, Career Exploration, and Decision Making",0132481197,9780132481199,Student Success,178402
2,5/16/2015,423,590,Mathematics for Business,0132898357,9780132898355,Business,178402
3,2/2/2016,595,621,Developmental Mathematics through Applications: Basic College Mathematics and Algebra,0321826043,9780321826046,Mathematics,178402
4,10/2/2015,120,644,"Developmental Mathematics: Prealgebra, Beginning, Intermediate Algebra",0321880854,9780321880857,Mathematics,178402
5,12/17/2015,451,633,Brief Calculus & Its Applications,0321848837,9780321848833,Mathematics,178402
6,9/17/2015,270,600,Statistical Reasoning for Everyday Life,0321817621,9780321817624,Statistics,178402
7,7/14/2015,589,926,Environmental Law,0133075281,9780133075281,Business,178402
8,10/5/2015,74,914,Using MIS,0133029670,9780133029673,Business,178402
9,1/10/2016,355,951,Corporate Finance,0132992477,9780132992473,Business,178402
10,1/15/2016,504,964,The Practice of Public Relations,0133083578,9780133083576,Business,178402
11,1/13/2016,651,676,International Monetary & Financial  Economics,0132461862,9780132461863,Economics,178402
12,1/21/2016,669,786,Managerial Accounting: Decision Making and Motivating Performance,0137024878,9780137024872,Business,178402
13,5/7/2015,392,630,World Myth,0205730523,9780205730520,English,178402
14,12/21/2015,437,955,Horngren's Financial & Managerial Accounting,0133251241,9780133251241,Business,178402
15,6/18/2015,218,703,Principles of Macroeconomics,0133023672,9780133023671,Economics,178402
16,12/3/2015,597,621,Developmental Mathematics through Applications: Basic College Mathematics and Algebra,0321826043,9780321826046,Mathematics,178402
17,3/8/2015,111,787,Visual Basic 2012 How to Program,0133406954,9780133406955,Computer Science,178402
18,8/9/2015,62,552,The Prentice Hall Guide for College Writers,0205875548,9780205875542,English,178402
19,12/23/2015,377,707,Managerial Economics,0321566440,9780321566447,Economics,178402
20,10/26/2015,350,603,Intro Stats,0321825276,9780321825278,Statistics,178402
1,2/10/2016,553,677,"Macroeconomics, 2/e",0132992795,9780132992794,Economics,185828
2,4/10/2015,490,485,Elementary Algebra,0321880153,9780321880154,Mathematics,185828
3,7/15/2015,459,983,Electronic Commerce 2012,0132145383,9780132145381,Business,185828
4,7/10/2015,594,483,Mathematics for Elementary Teachers with Activity Manual,0321825721,9780321825728,Mathematics,185828
5,1/15/2016,165,631,World of Short Stories: 20 Short Stories from Around the World,0205902308,9780205902309,Student Success,185828
6,1/26/2016,434,951,Corporate Finance,0132992477,9780132992473,Business,185828
7,1/30/2016,654,593,Prealgebra  5e,0321845021,9780321845023,Mathematics,185828
8,11/16/2015,343,918,Fundamentals of Futures and Options Markets,0132993341,9780132993340,Business,185828
9,12/14/2015,293,572,Mosaics: Reading and Writing Paragraphs,0205890547,9780205890545,Student Success,185828
10,10/2/2015,238,626,Elementary & Intermediate Algebra,0321880110,9780321880116,Mathematics,185828
11,2/27/2016,486,610,Cornerstones for College Success,0321860470,9780321860477,Student Success,185828
12,11/3/2015,137,633,Brief Calculus & Its Applications,0321848837,9780321848833,Mathematics,185828
13,7/14/2015,195,677,"Macroeconomics, 2/e",0132992795,9780132992794,Economics,185828
14,7/26/2015,29,492,Internetworking with TCP/IP Volume One,013608530X,9780136085300,Computer Science,185828
15,9/14/2015,236,894,International Economics,0132948915,9780132948913,Economics,185828
16,8/19/2015,138,973,The Economic Way of Thinking,0136039855,9780136039853,Economics,185828
17,2/8/2016,297,943,Modern Systems Analysis and Design,0132991306,9780132991308,Business,185828
18,4/6/2015,647,642,Developmental Mathematics,0321845862,9780321845863,Mathematics,185828
19,8/14/2015,368,689,"Horngren's Financial & Managerial Accounting, The Managerial Chapters",0133255433,9780133255430,Business,185828
20,6/13/2015,496,701,Adaptive Filter Theory,013267145X,9780132671453,Engineering,185828
21,7/24/2015,409,705,Statics and Mechanics of Materials,0133451607,9780133451603,Engineering,185828
22,1/11/2016,647,604,Calculus and Its Applications Expanded Version,0321838203,9780321838209,Mathematics,185828
23,8/20/2015,531,592,Essential Math 4e,0321845056,9780321845054,Mathematics,185828
24,9/19/2015,207,627,Intermediate Algebra 10,0321872185,9780321872180,Mathematics,185828
25,6/13/2015,495,909,Management: A Focus on Leaders,0133077543,9780133077544,Business,185828
26,12/28/2015,567,485,Elementary Algebra,0321880153,9780321880154,Mathematics,185828
1,6/21/2015,604,571,Style: Lessons in Clarity and Grace 11E,0321898680,9780321898685,English,186371
2,3/14/2015,131,613,Business Math,0133011208,9780133011203,Business,186371
3,6/4/2015,32,636,Trigonometry,0321795911,9780321795915,Mathematics,186371
4,5/27/2015,139,928,Human Resource Management,0133043541,9780133043549,Business,186371
5,12/3/2015,240,572,Mosaics: Reading and Writing Paragraphs,0205890547,9780205890545,Student Success,186371
6,10/9/2015,513,590,Mathematics for Business,0132898357,9780132898355,Business,186371
7,11/13/2015,342,789,Machine Design,013335671X,9780133356717,Engineering,186371
8,7/25/2015,313,474,Starting Out with C++: Early Objects,013336092X,9780133360929,Computer Science,186371
9,3/31/2015,169,936,Systems Analysis and Design,0133023443,9780133023442,Business,186371
10,7/3/2015,100,486,Intermediate Algebra,0321880129,9780321880123,Mathematics,186371
11,12/31/2015,690,637,Elementary Statistics Using Excel,0321851668,9780321851666,Statistics,186371
12,9/15/2015,356,627,Intermediate Algebra 10,0321872185,9780321872180,Mathematics,186371
